epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,688.842,1.36358,2.74881,1.46456,0.2333,0.5201,0.35374,0.23297,1.69147,3.78301,1.65722,0.0672463,0.000330846,0.000330846
2,1423.38,1.29997,1.87428,1.40308,0.53731,0.44949,0.45175,0.28917,1.4049,2.10864,1.55005,0.0342369,0.000654786,0.000654786
3,2168.5,1.29056,1.727,1.39631,0.52239,0.58347,0.53233,0.353,1.32434,2.05097,1.50749,0.00121805,0.000969297,0.000969297
4,2843.19,1.27927,1.64115,1.38974,0.53787,0.51278,0.51674,0.3566,1.3342,2.15918,1.53265,0.000957571,0.000957571,0.000957571
5,3523.46,1.26488,1.55264,1.37646,0.67758,0.58768,0.64468,0.47357,1.15394,1.56068,1.34507,0.000943429,0.000943429,0.000943429
6,4149.14,1.22429,1.47466,1.35478,0.68352,0.59601,0.65086,0.45116,1.27104,1.61494,1.43381,0.000929286,0.000929286,0.000929286
7,4798.44,1.19829,1.38386,1.32962,0.76593,0.67575,0.76856,0.54518,1.1759,1.39673,1.36034,0.000915143,0.000915143,0.000915143
8,5444.05,1.17666,1.35508,1.31763,0.78618,0.70737,0.79401,0.56825,1.15869,1.25336,1.35527,0.000901,0.000901,0.000901
9,6120.95,1.16332,1.3245,1.30784,0.75055,0.76124,0.79774,0.55973,1.16358,1.21876,1.35187,0.000886857,0.000886857,0.000886857
10,6829.19,1.14756,1.24728,1.28916,0.75854,0.70213,0.7644,0.53278,1.19518,1.42542,1.37179,0.000872714,0.000872714,0.000872714
11,7568.91,1.12832,1.23266,1.28509,0.81442,0.72436,0.78709,0.56845,1.15309,1.20986,1.34255,0.000858571,0.000858571,0.000858571
12,8264.56,1.12926,1.20119,1.28137,0.7924,0.76206,0.82849,0.59383,1.16757,1.1489,1.3592,0.000844429,0.000844429,0.000844429
13,8931.72,1.12166,1.16381,1.27351,0.79315,0.79306,0.82118,0.59252,1.066,1.16994,1.28805,0.000830286,0.000830286,0.000830286
14,9607.13,1.1024,1.16206,1.26521,0.77172,0.78544,0.83011,0.60555,1.08214,1.04793,1.28981,0.000816143,0.000816143,0.000816143
15,10289.9,1.09159,1.11134,1.259,0.82885,0.77106,0.84053,0.60351,1.08591,1.08911,1.29396,0.000802,0.000802,0.000802
16,10983.7,1.06453,1.09596,1.23666,0.7898,0.73694,0.78514,0.57748,1.10001,1.16864,1.3226,0.000787857,0.000787857,0.000787857
17,11673.3,1.04553,1.02801,1.22129,0.80392,0.78425,0.83968,0.59933,1.13035,1.06686,1.33179,0.000773714,0.000773714,0.000773714
18,12373.5,1.06241,1.06694,1.23495,0.81233,0.75018,0.83164,0.59785,1.10345,1.10976,1.324,0.000759571,0.000759571,0.000759571
19,13094.6,1.04614,1.00339,1.22918,0.79648,0.80024,0.83857,0.60168,1.10926,1.05773,1.27838,0.000745429,0.000745429,0.000745429
20,13821.6,1.04182,1.00114,1.22487,0.85736,0.75358,0.84108,0.60975,1.08419,1.05026,1.31057,0.000731286,0.000731286,0.000731286
21,14546.1,1.03817,1.01882,1.21868,0.85732,0.76809,0.85694,0.63482,1.07297,1.07263,1.28163,0.000717143,0.000717143,0.000717143
22,15268.2,1.0097,0.95017,1.21924,0.83469,0.80935,0.8613,0.63254,1.05034,0.94095,1.2781,0.000703,0.000703,0.000703
23,15963.3,1.02107,0.92202,1.20241,0.78742,0.82694,0.85638,0.62287,1.0939,0.97911,1.30138,0.000688857,0.000688857,0.000688857
24,16676,1.01375,0.90859,1.19085,0.80921,0.83294,0.85985,0.63773,1.04207,0.92441,1.24041,0.000674714,0.000674714,0.000674714
